bar_number,bar_number_global,tick_16th,onset_time_uncorrected,phase_uncorrected,phase_per_snippet_remapped,phase_per_snippet,phase_drum(L=1),phase_mel(L=1),phase_pitch(L=4),grid_time_uncorrected,grid_time_per_snippet,grid_time_drum(L=1),grid_time_mel(L=1),grid_time_pitch(L=4)
0,21,0,52.453877551020405,0.09134602764963304,0.0625,0.0625,0.0625,0.0625,0.0625,52.384218,52.453877551020405,52.453877551020405,52.453877551020405,52.453877551020405
0,21,1,,,0.13942308595194874,,0.13942308595194874,0.13942308595194874,0.13979468779537024,52.5351476875,52.60480723852041,52.60480723852041,52.60480723852041,52.604081629145405
0,21,2,52.63963718820862,0.1682691136015818,0.19711540041590886,0.13942308595194874,0.19711540041590886,0.19711540041590886,0.19776570364189644,52.686077374999996,52.755736926020404,52.755736926020404,52.755736926020404,52.754285707270405
0,21,3,52.77895691609977,0.2259614280655419,0.254807714879869,0.19711540041590886,0.254807714879869,0.254807714879869,0.2557367194884226,52.8370070625,52.90666661352041,52.90666661352041,52.90666661352041,52.904489785395405
0,21,4,52.91827664399093,0.28365374252950204,0.32211541508782193,0.254807714879869,0.32211541508782193,0.32211541508782193,0.32336957130936933,52.987936749999996,53.0575963010204,53.0575963010204,53.0575963010204,53.054693863520406
0,21,5,53.08081632653061,0.35096144273745494,,0.32211541508782193,,,,53.1388664375,53.20852598852041,53.20852598852041,53.20852598852041,53.204897941645406
0,21,6,53.35945578231293,0.4663460716653781,0.43750004401574505,0.43750004401574505,0.43750004401574505,0.43750004401574505,0.4393116030024247,53.289796124999995,53.3594556760204,53.3594556760204,53.3594556760204,53.355102019770406
0,21,7,,,,,,,,53.4407258125,53.510385363520406,53.510385363520406,53.510385363520406,53.50530609789541
0,21,8,53.66131519274376,0.5913460863372882,0.5625000586876552,0.5625000586876552,0.5625000586876552,0.5625000586876552,0.5649154706698947,53.5916555,53.66131505102041,53.66131505102041,53.66131505102041,53.65551017602041
0,21,9,,,,,,,,53.7425851875,53.812244738520405,53.812244738520405,53.812244738520405,53.80571425414541
0,21,10,,,0.697115459103567,,0.697115459103567,0.697115459103567,0.700181174311794,53.893514875,53.96317442602041,53.96317442602041,53.96317442602041,53.95591833227041
0,21,11,53.98639455782313,0.7259614867532,,0.697115459103567,0.7451923878235343,0.7451923878235343,0.7484903541838998,54.0444445625,54.114104113520405,54.114104113520405,54.114104113520405,54.10612241039541
0,21,12,54.26503401360544,0.8413461156811173,0.8125000880314842,0.8125000880314842,0.8125000880314842,0.8125000880314842,0.8161232060048434,54.19537425,54.26503380102041,54.26503380102041,54.26503380102041,54.25632648852041
0,21,13,,,,,,,,54.3463039375,54.415963488520404,54.415963488520404,54.415963488520404,54.40653056664541
0,21,14,54.54367346938776,0.9567307446090434,0.9278847169594103,0.9278847169594103,0.9278847169594103,0.9278847169594103,0.9320652376979018,54.497233625,54.56689317602041,54.56689317602041,54.56689317602041,54.55673464477041
0,21,15,,,,,,,,54.648163312499996,54.717822863520404,54.717822863520404,54.717822863520404,54.7069387228954
1,22,0,54.84553287981859,0.08191746607206832,0.052791379316073965,0.052791379316073965,0.0625,0.0625,0.057669105365373244,54.799093,54.86875255102041,54.84553287981859,54.84553287981859,54.8571428010204
1,22,1,,,,,,,,54.9485714375,55.01823098852041,54.99501131731859,54.99501131731859,55.0073468791454
1,22,2,55.17061224489796,0.21783981485538706,0.1887137280993927,0.1887137280993927,0.19842234878331874,0.19842234878331874,0.19293480900726967,55.098049875,55.16770942602041,55.14448975481859,55.14448975481859,55.1575509572704
1,22,3,55.30993197278912,0.27609225004824006,0.24696616329224572,0.24696616329224572,0.2566747839761717,0.2566747839761717,0.25090582485379886,55.2475283125,55.31718786352041,55.293968192318594,55.293968192318594,55.3077550353954
1,22,4,,,0.3149273376839036,,0.32463595836782966,0.32463595836782966,0.31853867667474556,55.39700675,55.46666630102041,55.443446629818595,55.443446629818595,55.4579591135204
1,22,5,55.4724716553288,0.34405342443989795,,0.3149273376839036,,,,55.5464851875,55.616144738520404,55.59292506731859,55.59292506731859,55.6081631916454
1,22,6,55.75111111111111,0.46055829482559507,0.4314322080696007,0.4314322080696007,0.4411408287535267,0.4411408287535267,0.434480708367795,55.695963625,55.765623176020405,55.74240350481859,55.74240350481859,55.7583672697704
1,22,7,,,,,,,,55.8454420625,55.915101613520406,55.89188194231859,55.89188194231859,55.9085713478954
1,22,8,56.05297052154195,0.586771904410106,0.5576458176541116,0.5576458176541116,0.5673544383380377,0.5673544383380377,0.5600845760352708,55.9949205,56.06458005102041,56.04136037981859,56.04136037981859,56.058775426020404
1,22,9,,,,,,,,56.1443989375,56.21405848852041,56.19083881731859,56.19083881731859,56.208979504145404
1,22,10,,,0.6935681664374274,,0.7032767871213534,0.7032767871213534,0.6953502796771643,56.293877375,56.36353692602041,56.34031725481859,56.34031725481859,56.359183582270404
