bar_number,bar_number_global,tick_16th,onset_time_uncorrected,phase_uncorrected,phase_per_snippet_remapped,phase_per_snippet,phase_drum(L=4),phase_mel(L=1),phase_pitch(L=2),grid_time_uncorrected,grid_time_per_snippet,grid_time_drum(L=4),grid_time_mel(L=1),grid_time_pitch(L=2)
0,20,0,50.36408163265306,0.09134606145372484,0.0625,0.0625,0.0625,0.0625,0.0625,50.294422,50.36408163265306,50.36408163265306,50.36408163265306,50.36408163265306
0,20,1,,,,,,,,50.4453516875,50.515011320153064,50.51428571077806,50.515011320153064,50.51428569515306
0,20,2,,,0.19711540041590886,,0.19776570364189644,0.19711540041590886,0.1977657177129314,50.596281375,50.66594100765306,50.66448978890306,50.66594100765306,50.66448975765306
0,20,3,50.68916099773243,0.2259614618696337,,0.19711540041590886,0.24607488351399912,0.24519232913587316,0.2460749026104037,50.7472110625,50.816870695153064,50.81469386702806,50.816870695153064,50.81469382015306
0,20,4,,,0.3221154150878249,,0.32336957130937233,0.3221154150878249,0.3233695984463683,50.898140749999996,50.96780038265306,50.96489794515306,50.96780038265306,50.96489788265306
0,20,5,50.99102040816327,0.3509614765415497,,0.3221154150878249,,,,51.0490704375,51.11873007015306,51.11510202327806,51.11873007015306,51.115101945153064
0,20,6,51.26965986394558,0.466346105469467,0.4375000440157421,0.4375000440157421,0.4393116030024217,0.4375000440157421,0.43931164220030483,51.200000124999995,51.26965975765306,51.26530610140306,51.26965975765306,51.26530600765306
0,20,7,,,,,,,,51.3509298125,51.42058944515306,51.41551017952806,51.42058944515306,51.41551007015306
0,20,8,51.57151927437642,0.591346120141383,0.5625000586876581,0.5625000586876581,0.5649154706698977,0.5625000586876581,0.5649155229337418,51.501859499999995,51.571519132653066,51.56571425765306,51.57151913265306,51.56571413265306
0,20,9,,,,,,,,51.6527891875,51.72244882015306,51.71591833577806,51.72244882015306,51.71591819515306
0,20,10,51.87337868480726,0.716346134813296,0.6875000733595712,0.6875000733595712,0.6905193383373706,0.6875000733595712,0.6905194036671757,51.803718875,51.873378507653065,51.866122413903064,51.873378507653065,51.86612225765306
0,20,11,52.01269841269841,0.7740384492772561,0.7451923878235313,0.7451923878235313,0.7484903541838968,0.7451923878235313,0.7484904255441455,51.9546485625,52.02430819515306,52.016326492028064,52.02430819515306,52.01632632015306
0,20,12,52.17523809523809,0.841346149485209,0.8125000880314842,0.8125000880314842,0.8161232060048434,0.8125000880314842,0.8161232844006097,52.10557825,52.175237882653065,52.166530570153064,52.175237882653065,52.166530382653065
0,20,13,,,,,,,,52.2565079375,52.32616757015306,52.316734648278064,52.32616757015306,52.31673444515306
0,20,14,52.453877551020405,0.9567307784131293,0.9278847169594044,0.9278847169594044,0.9320652376978958,0.9278847169594044,0.9320653281545491,52.407437625,52.477097257653064,52.466938726403065,52.477097257653064,52.46693850765306
0,20,15,,,,,,,,52.558367312499996,52.62802694515306,52.617142804528065,52.62802694515306,52.617142570153064
1,21,0,52.75573696145125,0.08191750020435587,0.052791379316073965,0.052791379316073965,0.05766910536537029,0.0625,0.057669208887984616,52.709297,52.77895663265306,52.767346882653065,52.75573696145125,52.767346632653066
1,21,1,,,,,,,,52.8587754375,52.928435070153064,52.917550960778065,52.90521539895125,52.91755069515306
1,21,2,53.08081632653061,0.21783984898767164,0.18871372809938974,0.18871372809938974,0.19293480900726376,0.19842234878331577,0.19293492660091305,53.008253875,53.077913507653065,53.06775503890306,53.05469383645125,53.06775475765306
1,21,3,53.22013605442177,0.27609228418052467,0.24696616329224275,0.24696616329224275,0.2509058248537929,0.2566747839761688,0.2509059484778857,53.1577323125,53.227391945153066,53.21795911702806,53.20417227395125,53.217958820153065
1,21,4,,,0.31492733768390063,,0.3185386766747397,0.32463595836782666,0.31853880733434997,53.307210749999996,53.37687038265307,53.36816319515306,53.353650711451245,53.36816288265306
1,21,5,53.38267573696145,0.3440534585721825,,0.31492733768390063,,,,53.4566891875,53.52634882015306,53.51836727327806,53.503129148951245,53.51836694515306
1,21,6,53.66131519274376,0.4605583289578796,0.43143220806959776,0.43143220806959776,0.43448070836778907,0.4411408287535238,0.4344808510882865,53.606167625,53.67582725765306,53.66857135140306,53.652607586451246,53.668571007653064
1,21,7,,,,,,,,53.7556460625,53.82530569515306,53.81877542952806,53.80208602395125,53.81877507015306
1,21,8,53.9631746031746,0.5867719385423905,0.5576458176541086,0.5576458176541086,0.560084576035265,0.5673544383380347,0.5600847318217235,53.9051245,53.97478413265306,53.96897950765306,53.95156446145125,53.96897913265306
1,21,9,,,0.6353157312445773,,0.6373792638306351,0.6450243519285034,0.6373794276576851,54.0546029375,54.124262570153064,54.11918358577806,54.10104289895125,54.11918319515306
1,21,10,54.14893424036281,0.6644418521328592,0.6935681664374274,0.6353157312445773,0.6953502796771613,0.7032767871213534,0.6953504495346547,54.204081375,54.273741007653065,54.26938766390306,54.25052133645125,54.269387257653065
1,21,11,54.28825396825397,0.7226942873257093,,0.6935681664374274,0.743659459549267,0.7518204831153956,0.7436596344321301,54.3535598125,54.423219445153066,54.41959174202806,54.39999977395125,54.41959132015306
1,21,12,,,0.8197817760219352,,0.8209541473446343,0.8294903967058613,0.8209543302680887,54.50303825,54.57269788265306,54.56979582015306,54.54947821145125,54.56979538265306
1,21,13,54.590113378684805,0.8489078969102172,,0.8197817760219352,,,,54.6525166875,54.72217632015306,54.71999989827806,54.698956648951246,54.719999445153064
1,21,14,54.86875283446712,0.9654127672959173,0.9362866464076354,0.9362866464076354,0.9368961790376867,0.9459952670915613,0.9368963740220283,54.801995125,54.87165475765306,54.87020397640306,54.848435086451246,54.870203507653066
1,21,15,,,,,,,,54.9514735625,55.02113319515306,55.02040805452806,54.99791352395125,55.02040757015306
2,22,0,55.17061224489796,0.09162636470209783,0.06250025599203922,0.06250025599203922,0.06250004670516408,0.0625,0.0625,55.100952,55.17061163265306,55.17061213265306,55.17061224489796,55.17061224489796
2,22,1,,,,,,,,55.2504305,55.320090132653064,55.32081621077806,55.32009074489796,55.32081633864796
2,22,2,55.4724716553288,0.21783992151413256,0.18871381280407395,0.18871381280407395,0.18810391437263996,0.18871355681203472,0.18810385460151757,55.399909,55.469568632653065,55.47102028890306,55.46956924489796,55.47102043239796
2,22,3,,,0.25667495877978014,,0.25573676619358376,0.25667470278774096,0.2557366993869453,55.5493875,55.619047132653066,55.62122436702806,55.61904774489796,55.62122452614796
2,22,4,55.63501133786848,0.28580106748983874,0.3149273696161057,0.25667495877978014,0.3137077820401129,0.3149271136240665,0.3137077092030322,55.698865999999995,55.768525632653066,55.77142844515306,55.768526244897956,55.77142861989796
2,22,5,55.77433106575964,0.3440534783261643,,0.3149273696161057,,,,55.848344499999996,55.91800413265306,55.92163252327806,55.91800474489796,55.92163271364796
2,22,6,,,0.4411409264281404,,0.4393116497075888,0.4411406704361012,0.4393115638045498,55.997823,56.06748263265306,56.071836601403064,56.06748324489796,56.07183680739796
