beat_time(s)	downbeat_time(s)	beat_pos	global_beat	bar_num
87.539229	87.539229	1	172	44
88.050068	87.539229	2	173	44
88.560907	87.539229	3	174	44
89.048526	87.539229	4	175	44
89.559365	89.559365	1	176	45
90.070204	89.559365	2	177	45
90.581043	89.559365	3	178	45
91.091882	89.559365	4	179	45
91.602721	91.602721	1	180	46
92.113560	91.602721	2	181	46
92.624399	91.602721	3	182	46
93.135238	91.602721	4	183	46
93.622857	93.622857	1	184	47
94.133696	93.622857	2	185	47
94.644535	93.622857	3	186	47
95.155374	93.622857	4	187	47
95.666213	95.666213	1	188	48
96.177052	95.666213	2	189	48
96.687891	95.666213	3	190	48
97.198730	95.666213	4	191	48
97.709569	97.709569	1	192	49
98.197188	97.709569	2	193	49
98.708027	97.709569	3	194	49
99.218866	97.709569	4	195	49
99.729705	99.729705	1	196	50
100.240544	99.729705	2	197	50
100.751383	99.729705	3	198	50
101.262222	99.729705	4	199	50
101.773061	101.773061	1	200	51
102.283900	101.773061	2	201	51
102.771519	101.773061	3	202	51
103.282358	101.773061	4	203	51
103.793197	103.793197	1	204	52
104.304036	103.793197	2	205	52
104.814875	103.793197	3	206	52
105.325714	103.793197	4	207	52
105.836553	105.836553	1	208	53
106.347392	105.836553	2	209	53
106.858231	105.836553	3	210	53
107.345850	105.836553	4	211	53
107.856689	107.856689	1	212	54
108.367528	107.856689	2	213	54
108.878367	107.856689	3	214	54
109.389206	107.856689	4	215	54
109.900045	109.900045	1	216	55
110.410884	109.900045	2	217	55
110.921723	109.900045	3	218	55
111.432562	109.900045	4	219	55
111.943401	111.943401	1	220	56
112.454240	111.943401	2	221	56
112.941859	111.943401	3	222	56
113.452698	111.943401	4	223	56
113.963537	113.963537	1	224	57
114.474376	113.963537	2	225	57
114.985215	113.963537	3	226	57
115.496054	113.963537	4	227	57
116.006893	116.006893	1	228	58
116.517732	116.006893	2	229	58
117.028571	116.006893	3	230	58
117.539410	116.006893	4	231	58
118.050249	118.050249	1	232	59
118.537868	118.050249	2	233	59
119.048707	118.050249	3	234	59
119.559546	118.050249	4	235	59
120.070385	120.070385	1	236	60
120.581224	120.070385	2	237	60
121.092063	120.070385	3	238	60
121.602902	120.070385	4	239	60
122.113741	122.113741	1	240	61
122.601361	122.113741	2	241	61
123.112200	122.113741	3	242	61
123.623039	122.113741	4	243	61
124.133878	124.133878	1	244	62
124.644717	124.133878	2	245	62
125.155556	124.133878	3	246	62
125.666395	124.133878	4	247	62
126.177234	126.177234	1	248	63
126.688073	126.177234	2	249	63
127.198912	126.177234	3	250	63
127.709751	126.177234	4	251	63
128.197370	128.197370	1	252	64
128.708209	128.197370	2	253	64
129.219048	128.197370	3	254	64
129.729887	128.197370	4	255	64
130.240726	130.240726	1	256	65
130.751565	130.240726	2	257	65
131.262404	130.240726	3	258	65
131.773243	130.240726	4	259	65
132.284082	132.284082	1	260	66
132.771701	132.284082	2	261	66
133.305760	132.284082	3	262	66
133.793379	132.284082	4	263	66
134.304218	134.304218	1	264	67
134.815057	134.304218	2	265	67
135.325896	134.304218	3	266	67
135.836735	134.304218	4	267	67
136.347574	136.347574	1	268	68
136.858413	136.347574	2	269	68
137.369252	136.347574	3	270	68
137.880091	136.347574	4	271	68
138.367710	138.367710	1	272	69
138.878549	138.367710	2	273	69
139.389388	138.367710	3	274	69
139.900227	138.367710	4	275	69
140.411066	140.411066	1	276	70
140.921905	140.411066	2	277	70
141.432744	140.411066	3	278	70
141.943583	140.411066	4	279	70
142.454422	142.454422	1	280	71
142.965261	142.454422	2	281	71
143.476100	142.454422	3	282	71
143.963719	142.454422	4	283	71
144.474558	144.474558	1	284	72
144.985397	144.474558	2	285	72
145.496236	144.474558	3	286	72
146.007075	144.474558	4	287	72
146.517914	146.517914	1	288	73
147.028753	146.517914	2	289	73
147.539592	146.517914	3	290	73
148.027211	146.517914	4	291	73
148.538050	148.538050	1	292	74
149.072109	148.538050	2	293	74
149.559728	148.538050	3	294	74
150.070567	148.538050	4	295	74
150.581406	150.581406	1	296	75
151.092245	150.581406	2	297	75
151.603084	150.581406	3	298	75
152.113923	150.581406	4	299	75
152.624762	152.624762	1	300	76
153.135601	152.624762	2	301	76
153.646440	152.624762	3	302	76
154.134059	152.624762	4	303	76
154.644898	154.644898	1	304	77
155.155737	154.644898	2	305	77
155.666576	154.644898	3	306	77
156.177415	154.644898	4	307	77
156.688254	156.688254	1	308	78
157.199093	156.688254	2	309	78
157.709932	156.688254	3	310	78
158.220771	156.688254	4	311	78
158.708390	158.708390	1	312	79
159.219229	158.708390	2	313	79
159.730068	158.708390	3	314	79
160.240907	158.708390	4	315	79
160.751746	160.751746	1	316	80
161.262585	160.751746	2	317	80
161.773424	160.751746	3	318	80
162.284263	160.751746	4	319	80
162.795102	162.795102	1	320	81
163.305941	162.795102	2	321	81
163.793560	162.795102	3	322	81
164.304399	162.795102	4	323	81
164.815238	164.815238	1	324	82
165.326077	164.815238	2	325	82
165.836916	164.815238	3	326	82
166.347755	164.815238	4	327	82
166.858594	166.858594	1	328	83
167.369433	166.858594	2	329	83
167.857052	166.858594	3	330	83
168.367891	166.858594	4	331	83
168.878730	168.878730	1	332	84
169.389569	168.878730	2	333	84
169.900408	168.878730	3	334	84
170.411247	168.878730	4	335	84
170.922086	170.922086	1	336	85
171.432925	170.922086	2	337	85
171.943764	170.922086	3	338	85
172.454603	170.922086	4	339	85
172.942222	172.942222	1	340	86
173.453061	172.942222	2	341	86
173.963900	172.942222	3	342	86
174.474739	172.942222	4	343	86
174.985578	174.985578	1	344	87
175.496417	174.985578	2	345	87
176.007256	174.985578	3	346	87
176.518095	174.985578	4	347	87
177.028934	177.028934	1	348	88
177.539773	177.028934	2	349	88
178.050612	177.028934	3	350	88
178.538231	177.028934	4	351	88
179.072290	179.072290	1	352	89
179.559909	179.072290	2	353	89
180.070748	179.072290	3	354	89
180.581587	179.072290	4	355	89
181.092426	181.092426	1	356	90
181.603265	181.092426	2	357	90
182.114104	181.092426	3	358	90
182.624943	181.092426	4	359	90
183.112562	183.112562	1	360	91
183.623401	183.112562	2	361	91
184.134240	183.112562	3	362	91
184.645079	183.112562	4	363	91
185.155918	185.155918	1	364	92
185.666757	185.155918	2	365	92
186.177596	185.155918	3	366	92
186.688435	185.155918	4	367	92
187.199274	187.199274	1	368	93
187.686893	187.199274	2	369	93
188.220952	187.199274	3	370	93
188.708571	187.199274	4	371	93
189.219410	189.219410	1	372	94
189.730249	189.219410	2	373	94
190.241088	189.219410	3	374	94
190.751927	189.219410	4	375	94
191.262766	191.262766	1	376	95
191.773605	191.262766	2	377	95
192.284444	191.262766	3	378	95
192.795283	191.262766	4	379	95
193.282902	193.282902	1	380	96
193.793741	193.282902	2	381	96
194.304580	193.282902	3	382	96
194.815420	193.282902	4	383	96
195.326259	195.326259	1	384	97
195.837098	195.326259	2	385	97
196.347937	195.326259	3	386	97
196.858776	195.326259	4	387	97
197.369615	197.369615	1	388	98
197.880454	197.369615	2	389	98
198.391293	197.369615	3	390	98
198.878912	197.369615	4	391	98
199.389751	199.389751	1	392	99
199.900590	199.389751	2	393	99
200.411429	199.389751	3	394	99
200.922268	199.389751	4	395	99
201.433107	201.433107	1	396	100
201.943946	201.433107	2	397	100
202.454785	201.433107	3	398	100
202.965624	201.433107	4	399	100
203.476463	203.476463	1	400	101
203.964082	203.476463	2	401	101
204.474921	203.476463	3	402	101
204.985760	203.476463	4	403	101
205.496599	205.496599	1	404	102
206.007438	205.496599	2	405	102
206.518277	205.496599	3	406	102
207.029116	205.496599	4	407	102
207.539955	207.539955	1	408	103
208.027574	207.539955	2	409	103
208.538413	207.539955	3	410	103
209.049252	207.539955	4	411	103
209.560091	209.560091	1	412	104
210.070930	209.560091	2	413	104
210.581769	209.560091	3	414	104
211.092608	209.560091	4	415	104
211.580227	211.580227	1	416	105
212.091066	211.580227	2	417	105
212.601905	211.580227	3	418	105
213.112744	211.580227	4	419	105
213.623583	213.600363	1	420	106
